,se002,se003,se005,se009,q056,q098,q131,q127,q027,complicated,age,voted
5435,1.0,3.0,9.0,2.0,3.0,3.0,3.0,2.0,2.0,Somewhat agree,25-29,Yes
5436,1.0,3.0,9.0,2.0,2.0,3.0,3.0,2.0,2.0,Somewhat agree,25-29,Yes
5437,1.0,2.0,7.0,2.0,2.0,3.0,2.0,2.0,1.0,Somewhat agree,20-24,No
5438,1.0,3.0,8.0,1.0,2.0,2.0,3.0,2.0,2.0,Somewhat agree,25-29,Yes
5439,1.0,3.0,8.0,2.0,2.0,2.0,3.0,4.0,2.0,Strongly disagree,25-29,Yes
5440,1.0,3.0,8.0,3.0,2.0,2.0,3.0,4.0,2.0,Strongly disagree,25-29,Yes
5441,1.0,3.0,9.0,3.0,2.0,2.0,3.0,4.0,2.0,Strongly disagree,25-29,Yes
5442,1.0,3.0,7.0,2.0,3.0,3.0,1.0,3.0,1.0,Somewhat disagree,25-29,No
5443,1.0,3.0,8.0,2.0,3.0,3.0,2.0,4.0,2.0,Strongly disagree,25-29,Yes
5444,1.0,3.0,8.0,3.0,3.0,2.0,4.0,3.0,2.0,Somewhat disagree,25-29,Yes
5445,1.0,3.0,7.0,2.0,2.0,2.0,3.0,4.0,2.0,Strongly disagree,25-29,Yes
5446,1.0,3.0,8.0,3.0,2.0,2.0,4.0,2.0,2.0,Somewhat agree,25-29,Yes
5447,1.0,2.0,8.0,2.0,2.0,3.0,2.0,3.0,1.0,Somewhat disagree,20-24,No
5448,1.0,3.0,9.0,3.0,2.0,2.0,3.0,2.0,1.0,Somewhat agree,25-29,No
